name,role,bat_style,field_style,awards,importance,1st position batting,2nd position batting,3rd position batting,4th position batting,5th position batting,6th position batting,7th position batting,runs,batting_average,batting_innings,strike_rate,fours,sixes,bowl_style,bowling_innings,wickets,bowling_average,economy_rate,5th position bowling,6th position bowling,7th position bowling,8th position bowling,8th position batting,1st position bowling,2nd position bowling,3rd position bowling,4th position bowling,9th position batting,10th position batting,11th position batting,10th position bowling,11th position bowling,9th position bowling
Mohammad Shami,Bowler,right-hand bat,0.0,5.0,1.035294117647059,32.33,25.8,15.33,14.93,0.0,23.0,0.0,1694.0,22.28,82.0,114.69,182.0,36.0,"right-arm offbreak, legbreak",26.0,25.0,19.52,7.89,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammad Siraj,Bowler,right-hand bat,0.0,5.0,1.035294117647059,32.33,25.8,15.33,14.93,0.0,23.0,0.0,1694.0,22.28,82.0,114.69,182.0,36.0,"right-arm offbreak, legbreak",26.0,25.0,19.52,7.89,1.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Brook,Batter,right-hand bat,0.0,10.0,1.108695652173913,32.8,3.5,32.81,29.63,40.25,33.6,14.5,3449.0,32.84,137.0,149.95,298.0,142.0,right-arm medium,2.0,0.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devon Conway,Batter,left-hand bat,0.0,9.0,1.191011235955056,43.89,41.24,45.84,40.36,17.75,28.5,0.0,6300.0,41.44,190.0,128.3,666.0,147.0,right-arm medium,8.0,0.0,8.21,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Fraser-Mcgurk,Batter,right-hand bat,0.0,3.0,0.8157894736842101,25.14,12.12,30.39,12.4,22.33,17.0,0.0,1357.0,20.87,68.0,150.27,113.0,80.0,legbreak googly,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aiden Markram,Batter,right-hand bat,0.0,7.0,1.214723926380368,23.95,33.4,27.17,33.02,38.27,0.0,0.0,4399.0,30.97,171.0,131.58,370.0,148.0,right-arm offbreak,88.0,40.0,32.45,7.47,6.0,13.0,3.0,0.0,0.0,6.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Devdutt Padikkal,Batter,left-hand bat,0.0,2.0,1.141304347826087,32.36,34.15,23.71,29.07,12.5,0.0,0.0,2806.0,31.17,99.0,131.98,305.0,95.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rahul Tripathi,Batter,right-hand bat,0.0,4.0,0.9515151515151512,49.8,22.88,27.6,29.27,19.22,28.5,12.75,3589.0,25.82,158.0,134.97,346.0,134.0,right-arm medium,18.0,12.0,23.75,7.5,5.0,2.0,0.0,0.0,12.66,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
David Warner,Batter,left-hand bat,0.0,39.0,1.038961038961038,36.78,37.19,31.71,47.44,6.0,23.0,24.5,12909.0,37.09,397.0,140.26,1305.0,462.0,legbreak,2.0,0.0,0.0,12.85,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravichandaran Ashwin,AllRounder,right-hand bat,0.0,10.0,1.257042253521126,0.0,14.0,18.75,16.5,26.5,6.57,16.2,1200.0,14.81,135.0,119.88,100.0,38.0,right-arm offbreak,320.0,310.0,26.64,7.06,50.0,24.0,2.0,0.0,13.18,35.0,35.0,93.0,71.0,15.0,12.75,0.0,0.0,0.0,0.0
Venkatesh Iyer,AllRounder,left-hand bat,0.0,5.0,1.398058252427184,31.11,36.66,47.92,46.85,36.27,24.68,77.5,2896.0,36.65,112.0,140.78,268.0,120.0,right-arm medium,67.0,49.0,25.18,7.7,14.0,9.0,7.0,0.0,8.0,0.0,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Marsh,AllRounder,right-hand bat,0.0,19.0,1.208333333333333,17.0,19.33,32.04,38.2,33.63,25.54,25.57,4425.0,31.6,177.0,132.88,333.0,205.0,right-arm medium,109.0,85.0,25.75,8.44,22.0,27.0,7.0,0.0,19.66,0.0,5.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Maxwell,AllRounder,right-hand bat,0.0,43.0,1.209756097560975,56.0,36.57,25.72,28.29,28.68,26.91,5.75,10377.0,28.12,431.0,154.58,877.0,529.0,right-arm offbreak,308.0,0.0,7.8,23.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harshal Patel,AllRounder,right-hand bat,0.0,5.0,1.113513513513513,23.38,22.59,0.0,2.0,10.0,3.0,17.55,1268.0,15.85,107.0,140.88,124.0,70.0,right-arm medium,194.0,244.0,23.14,8.34,51.0,40.0,2.0,0.0,8.52,35.0,17.0,42.0,57.0,9.3,8.0,0.0,0.0,0.0,0.0
Rachin Ravindra,AllRounder,left-hand bat,0.0,0.0,1.0,13.5,19.33,21.44,7.4,22.5,9.75,11.0,1137.0,17.76,72.0,131.9,86.0,51.0,slow left-arm orthodox,60.0,57.0,21.64,7.08,16.0,21.0,0.0,0.0,23.0,2.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Stoinis,AllRounder,right-hand bat,0.0,25.0,1.188405797101449,34.9,35.28,23.31,30.84,27.73,29.8,24.0,6428.0,30.03,279.0,137.29,535.0,277.0,right-arm medium,190.0,0.0,8.98,17.5,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonny Bairstow,Batter,right-hand bat,1.0,20.0,1.075471698113207,50.2,30.95,24.68,30.32,23.0,24.3,25.0,5385.0,30.59,210.0,137.44,468.0,239.0,right-arm medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinton De Kock,Batter,left-hand bat,1.0,23.0,1.135838150289017,31.01,33.25,27.06,51.33,0.0,12.0,0.0,10688.0,31.62,367.0,138.21,1090.0,432.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rahmanullah Gurbaz,Batter,right-hand bat,1.0,13.0,1.123711340206185,25.45,25.86,20.5,10.0,19.33,0.0,0.0,5048.0,24.99,206.0,146.74,397.0,325.0,right-arm medium,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishan Kishan,Batter,left-hand bat,1.0,7.0,1.184971098265895,27.77,32.47,22.0,28.28,5.5,10.5,33.0,4916.0,28.41,184.0,133.11,486.0,224.0,legbreak,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phil Salt,Batter,right-hand bat,1.0,17.0,1.106719367588932,29.01,26.05,17.35,19.0,21.0,57.0,1.33,6679.0,27.15,267.0,155.18,706.0,273.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jitesh Sharma,Batter,right-hand bat,1.0,0.0,1.145299145299145,26.12,23.34,34.33,17.1,37.94,21.17,27.77,2625.0,26.51,116.0,150.25,244.0,124.0,0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Syed Khaleel Ahmed,Bowler,right-hand bat,0.0,3.0,1.409090909090909,0.0,0.0,33.3,22.09,18.09,6.5,13.0,1590.0,25.23,69.0,123.63,124.0,60.0,legbreak,4.0,2.0,15.0,7.2,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jofra Archer,Bowler,right-hand bat,0.0,5.0,1.012820512820512,0.0,0.0,0.0,0.0,0.0,20.0,15.25,645.0,15.0,81.0,141.13,45.0,28.0,right-arm fast,160.0,0.0,7.79,17.7,0.0,0.0,0.0,0.0,19.07,0.0,0.0,0.0,0.0,15.9,4.0,0.0,0.0,0.0,0.0
Trent Boult,Bowler,right-hand bat,0.0,9.0,1.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,10.52,65.0,105.21,12.0,12.0,left-arm fast-medium,243.0,284.0,25.48,8.04,0.0,0.0,0.0,0.0,13.0,188.0,81.0,12.0,3.0,8.85,11.5,7.66,0.0,0.0,0.0
Josh Hazlewood,Bowler,left-hand bat,0.0,5.0,1.370786516853932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,14.2,22.0,87.65,6.0,1.0,right-arm fast-medium,107.0,136.0,22.31,7.51,3.0,0.0,0.0,0.0,0.0,16.0,78.0,31.0,8.0,0.0,9.0,17.66,0.0,0.0,0.0
Avesh Khan,Bowler,right-hand bat,0.0,3.0,1.232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,8.0,28.0,120.54,7.0,5.0,right-arm fast-medium,125.0,152.0,24.9,8.45,10.0,2.0,0.0,0.0,1.0,20.0,61.0,45.0,14.0,11.33,12.66,14.0,0.0,0.0,0.0
Prasidh Krishna,Bowler,right-hand bat,0.0,0.0,0.951807228915662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,12.0,34.48,0.0,0.0,right-arm fast-medium,82.0,81.0,31.91,8.6,6.0,0.0,0.0,0.0,0.0,12.0,50.0,10.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0
T. Natarajan,Bowler,left-hand bat,0.0,0.0,1.223529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,6.0,53.33,0.0,0.0,left-arm medium,95.0,104.0,27.65,8.45,9.0,3.0,0.0,0.0,0.0,0.0,17.0,45.0,30.0,0.0,0.0,8.0,0.0,0.0,0.0
Anrich Nortje,Bowler,right-hand bat,0.0,5.0,0.951388888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,8.04,44.0,102.77,18.0,4.0,right-arm fast,141.0,180.0,22.56,7.81,15.0,2.0,0.0,0.0,0.0,24.0,42.0,68.0,29.0,6.91,11.0,4.66,0.0,0.0,0.0
Noor Ahmad,Bowler,right-hand bat,0.0,6.0,0.940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,2.0,180.0,6.92,44.0,100.0,8.0,10.0,left-arm wrist-spin,130.0,0.0,7.14,18.9,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,6.25,7.0,8.33,0.0,0.0,0.0
Rahul Chahar,Bowler,right-hand bat,0.0,1.0,1.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,9.64,48.0,103.87,23.0,7.0,legbreak googly,129.0,136.0,26.05,7.54,56.0,15.0,2.0,0.0,11.83,0.0,4.0,14.0,45.0,8.52,12.5,0.0,0.0,0.0,0.0
Wanindu Hasaranga,Bowler,right-hand bat,0.0,17.0,1.090452261306532,0.0,0.0,89.0,15.06,29.41,13.77,13.72,2349.0,17.79,166.0,144.46,228.0,79.0,legbreak,204.0,305.0,16.65,6.87,121.0,30.0,16.0,0.0,13.91,0.0,7.0,26.0,105.0,5.5,0.0,0.0,0.0,0.0,0.0
Waqar Salamkheil,Bowler,right-hand bat,0.0,3.0,1.215384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,11.0,10.0,64.7,2.0,0.0,left-arm wrist-spin,70.0,92.0,21.42,8.02,54.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,7.0,15.0,0.0,0.0,0.0
Maheesh Theekshana,Bowler,right-hand bat,0.0,4.0,1.028248587570621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,5.94,65.0,74.82,15.0,5.0,right-arm offbreak,183.0,192.0,24.58,6.77,8.0,3.0,0.0,0.0,1.28,58.0,47.0,60.0,16.0,6.56,6.54,14.0,0.0,0.0,0.0
Adam Zampa,Bowler,right-hand bat,0.0,18.0,1.071174377224199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,6.18,91.0,85.12,25.0,3.0,legbreak googly,292.0,0.0,7.39,17.5,0.0,0.0,0.0,0.0,11.27,0.0,0.0,0.0,0.0,3.16,5.55,9.33,0.0,0.0,0.0
Yash Dhull,Batter,right-hand bat,0.0,1.0,1.24,0.0,20.57,55.37,25.33,34.5,0.0,0.0,826.0,41.3,27.0,124.21,86.0,26.0,right-arm offbreak,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abhinav Manohar,Batter,right-hand bat,0.0,1.0,1.371428571428571,0.0,0.0,27.0,9.25,33.0,50.37,10.33,729.0,31.69,33.0,149.07,47.0,47.0,legbreak googly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karun Nair,Batter,right-hand bat,0.0,6.0,1.148648648648648,48.0,35.41,26.28,22.02,24.62,21.11,9.0,3462.0,26.42,148.0,134.91,343.0,116.0,right-arm offbreak,11.0,4.0,25.0,7.05,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angkrish Raghuvanshi,Batter,right-hand bat,0.0,0.0,1.470588235294117,0.0,182.0,105.0,0.0,0.0,0.0,0.0,54.0,287.0,2.0,0.0,17.0,0.0,slow left-arm orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anmolpreet Singh,Batter,right-hand bat,0.0,1.0,1.311475409836065,22.2,16.0,31.71,23.75,26.33,10.33,20.0,1382.0,26.07,57.0,132.62,132.0,44.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atharva Taide,Batter,left-hand bat,0.0,0.0,1.3111111111111111,30.08,30.66,36.4,0.0,0.0,0.0,0.0,1479.0,30.81,52.0,140.85,176.0,44.0,slow left-arm orthodox,15.0,11.0,15.18,5.96,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nehal Wadhera,Batter,left-hand bat,0.0,1.0,1.517241379310344,0.0,3.0,3.0,197.0,151.0,108.0,38.0,64.0,500.0,5.0,0.0,32.0,0.0,legbreak,0.0,0.0,4.58,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harpreet Brar,AllRounder,left-hand bat,0.0,5.0,1.108433734939759,0.0,0.0,0.0,13.0,0.0,8.0,16.25,380.0,16.52,45.0,125.41,29.0,18.0,slow left-arm orthodox,86.0,77.0,25.98,7.29,13.0,2.0,0.0,0.0,22.5,4.0,10.0,16.0,32.0,17.37,0.0,0.0,0.0,0.0,0.0
Naman Dhir,AllRounder,right-hand bat,0.0,1.0,1.642857142857142,0.0,0.0,124.0,16.0,26.0,0.0,28.0,0.0,200.0,1.0,0.0,17.0,0.0,right-arm offbreak,0.0,0.0,7.85,18.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mahipal Lomror,AllRounder,left-hand bat,0.0,0.0,1.25531914893617,0.0,22.0,24.11,30.62,28.04,28.4,10.75,2137.0,26.38,100.0,129.82,164.0,91.0,slow left-arm orthodox,44.0,11.0,55.81,7.48,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sameer Rizvi,AllRounder,right-hand bat,0.0,0.0,0.93103448275862,0.0,0.0,2.0,69.25,36.5,14.12,0.0,480.0,32.0,22.0,133.33,35.0,25.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdul Samad,AllRounder,right-hand bat,0.0,0.0,0.904255319148936,30.0,0.0,28.5,38.28,24.0,29.88,23.68,1478.0,26.87,76.0,146.77,99.0,90.0,legbreak,14.0,4.0,53.25,10.14,0.0,3.0,0.0,0.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Vijay Shankar,AllRounder,right-hand bat,0.0,1.0,0.986206896551724,0.0,0.0,23.66,30.28,30.33,24.31,4.0,2336.0,26.24,116.0,129.77,163.0,95.0,right-arm medium,65.0,36.0,33.02,8.18,16.0,6.0,2.0,0.0,8.0,5.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashutosh Sharma,AllRounder,right-hand bat,0.0,0.0,1.296296296296296,0.0,33.28,0.0,28.0,0.0,42.6,25.2,772.0,33.56,28.0,182.5,60.0,56.0,0,4.0,3.0,29.33,9.96,0.0,1.0,2.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nishant Sindhu,AllRounder,left-hand bat,0.0,1.0,0.7931034482758621,0.0,0.0,102.0,20.09,20.4,0.0,14.5,460.0,24.21,23.0,125.34,39.0,14.0,slow left-arm orthodox,21.0,17.0,19.17,6.39,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utkarsh Singh,AllRounder,left-hand bat,0.0,0.0,1.1,54.0,27.08,14.0,0.0,13.0,13.0,0.0,511.0,25.55,24.0,128.07,63.0,11.0,right-arm offbreak,27.0,25.0,19.72,6.22,0.0,4.0,0.0,1.0,4.0,10.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Aryan Juyal,Batter,right-hand bat,1.0,1.0,0.875,25.75,38.42,0.0,0.0,0.0,0.0,0.0,505.0,29.7,21.0,129.48,56.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kumar Kushagra,Batter,right-hand bat,1.0,1.0,0.954545454545454,13.0,0.0,64.0,16.0,13.83,0.0,0.0,254.0,14.94,20.0,125.12,12.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robin Minz,Batter,left-hand bat,1.0,0.0,1.333333333333333,0.0,0.0,0.0,0.0,1.0,19.0,17.0,0.0,37.0,2.0,0.0,3.0,0.0,slow left-arm orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuj Rawat,Batter,left-hand bat,0.0,3.0,1.290322580645161,19.14,26.21,12.14,53.5,24.6,27.25,27.5,1259.0,25.69,63.0,120.7,107.0,55.0,0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luvnith Sisodia,Batter,left-hand bat,1.0,0.0,2.0,0.0,19.5,7.66,20.0,18.5,0.0,5.0,124.0,13.77,9.0,127.83,15.0,4.0,left-arm medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vishnu Vinod,Batter,right-hand bat,1.0,0.0,1.350877192982456,37.33,19.72,34.33,5.0,49.5,19.33,0.0,1620.0,31.15,63.0,142.23,144.0,82.0,0,2.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upendra Singh Yadav,Batter,right-hand bat,0.0,9.0,1.1733333333333331,0.0,0.0,24.33,34.74,42.5,28.66,12.0,1831.0,32.69,73.0,143.15,140.0,77.0,"right-arm medium, right-arm offbreak",55.0,51.0,19.23,6.38,3.0,16.0,8.0,0.0,26.0,0.0,5.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Vaibhav Arora,Bowler,right-hand bat,0.0,0.0,1.040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,5.4,15.0,67.5,0.0,1.0,right-arm fast-medium,50.0,49.0,28.26,8.18,0.0,0.0,0.0,0.0,0.0,13.0,36.0,0.0,0.0,6.0,3.33,0.0,0.0,0.0,0.0
Rasikh Dar,Bowler,right-hand bat,0.0,1.0,2.833333333333333,0.0,0.0,10.0,0.0,29.0,26.0,14.0,0.0,79.0,2.0,0.0,7.0,0.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akash Madhwal,Bowler,right-hand bat,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,50.0,0.0,0.0,right-arm medium-fast,46.0,54.0,24.61,8.68,0.0,0.0,1.0,0.0,0.0,19.0,21.0,8.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0
Mohit Sharma,Bowler,right-hand bat,0.0,5.0,0.923529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,7.3,45.0,95.45,10.0,7.0,right-arm medium,162.0,165.0,27.44,8.41,20.0,17.0,0.0,0.0,8.8,28.0,35.0,41.0,24.0,4.45,11.16,8.0,0.0,0.0,0.0
Simarjeet Singh,Bowler,right-hand bat,0.0,1.0,1.058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.5,6.0,69.23,0.0,0.0,right-arm medium-fast,35.0,42.0,20.97,7.78,2.0,0.0,0.0,0.0,0.0,5.0,26.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0
Yash Thakur,Bowler,right-hand bat,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,right-arm offbreak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kartik Tyagi,Bowler,right-hand bat,0.0,1.0,0.609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,3.25,7.0,81.25,1.0,0.0,right-arm fast,33.0,25.0,40.12,9.33,1.0,5.0,0.0,0.0,0.0,1.0,0.0,9.0,9.0,7.0,3.0,0.0,0.0,0.0,0.0
Vyshak Vijaykumar,Bowler,right-hand bat,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,120.0,1.0,1.0,right-arm medium,18.0,10.0,46.6,8.17,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,0.0
Piyush Chawla,Bowler,left-hand bat,0.0,4.0,1.181481481481481,0.0,0.0,4.0,16.33,30.22,25.25,9.03,1565.0,14.76,162.0,123.42,135.0,59.0,legbreak,296.0,319.0,24.45,7.53,148.0,37.0,0.0,0.0,13.81,4.0,8.0,25.0,97.0,8.86,7.33,0.0,0.0,0.0,0.0
